# time, vmax, integral, width, baseline, dt
37.249557,169.100006,6125.131348,48.974739,1.900000,0.219692
37.795784,168.685715,6978.956543,57.017143,1.314286,0.546227
38.081688,169.128571,6997.080078,58.012138,1.871429,0.285904
38.311844,169.685715,6572.507324,53.087234,2.314286,0.230156
38.601242,154.814285,3144.523193,26.763245,2.185714,0.289398
38.685970,166.414291,6980.688965,58.176430,1.585714,0.084728
38.849861,168.385712,6566.185547,52.686432,1.614286,0.163891
39.875324,169.300003,6770.076660,56.459236,2.700000,1.025463
39.989746,168.928574,6556.681641,52.258339,2.071429,0.114422
40.039082,170.157150,6497.971680,52.147064,1.842857,0.049335
40.100792,133.271423,2815.944824,26.155838,1.728571,0.061710
40.206078,151.685715,2969.133301,24.877174,1.314286,0.105286
40.223297,170.171432,6812.406738,57.072762,1.828571,0.017220
40.589787,168.485718,6703.684082,53.629997,1.514286,0.366489
40.658894,171.257141,6606.420410,51.797859,1.742857,0.069107
41.822746,169.199997,6964.082031,56.783997,1.800000,1.163853
41.824055,171.871429,6916.524414,57.605659,2.128572,0.001308
42.342323,171.585709,6725.723145,56.288101,2.414286,0.518269
42.375977,168.642853,6476.869141,52.653580,2.357143,0.033653
42.402313,173.628571,6477.185059,52.303612,2.371428,0.026337
42.718857,178.957138,6188.939453,47.828003,2.042857,0.316544
42.821400,168.242859,6834.674805,57.363953,2.757143,0.102543
43.092400,167.414291,6868.595703,56.612144,1.585714,0.271000
43.155537,171.242859,6935.856445,58.036339,1.757143,0.063137
43.501335,167.042862,6472.618652,53.370483,2.957143,0.345798
43.832958,165.285721,6820.625000,58.333328,2.714286,0.331623
43.850353,170.128571,6702.156738,56.447861,2.871428,0.017395
44.025284,172.500000,6678.875000,55.874992,2.500000,0.174931
44.224541,168.585709,6522.815430,51.930710,2.414286,0.199257
44.333309,171.542862,7048.113770,56.778671,2.457143,0.108768
44.833248,169.399994,6889.125000,56.738922,2.600000,0.499939
45.268860,169.328568,6537.484863,52.816658,1.671429,0.435612
45.351799,172.557144,6917.199219,57.045242,1.442857,0.082939
45.480331,171.771423,6555.847656,53.093712,2.228571,0.128532
45.702980,170.600006,6998.360840,56.780502,1.400000,0.222649
45.838375,173.828568,6465.667969,52.138100,2.171429,0.135395
46.231277,173.171432,6619.933594,53.564835,1.828571,0.392902
46.380898,165.928574,6985.171387,57.840958,2.071429,0.149620
46.416737,167.014282,6491.362793,53.085915,1.985714,0.035839
46.419235,161.914291,3341.875244,27.628571,2.085714,0.002499
46.564827,168.285721,6900.521973,57.028580,1.714286,0.145592
46.568199,140.699997,2683.924805,25.029610,2.300000,0.003372
46.614811,170.714279,6421.067871,51.764420,2.285714,0.046612
47.018803,170.985718,6495.716309,52.839813,2.014286,0.403992
47.092957,174.942856,6613.680176,52.501068,2.057143,0.074154
47.599152,142.628571,2782.370850,25.126663,2.371428,0.506195
47.657955,169.642853,6573.725098,52.274727,2.357143,0.058804
47.687424,161.557144,3549.841553,28.902382,2.442857,0.029469
47.821178,175.428574,6896.421875,56.514290,2.571429,0.133755
47.824306,173.399994,6594.783691,51.967499,2.600000,0.003128
47.944317,150.042862,2949.268799,25.234863,1.957143,0.120010
48.021000,151.199997,3022.896484,25.751434,1.800000,0.076683
48.246979,168.442856,5744.674316,44.250183,2.557143,0.225979
48.394169,169.357147,6564.909668,53.630424,2.642857,0.147190
48.713367,160.300003,3635.153320,29.842705,1.700000,0.319199
48.753613,169.557144,6564.639648,52.973145,2.442857,0.040245
49.264584,167.842850,3688.638184,29.402382,2.157143,0.510971
49.319443,167.899994,6895.148438,58.568253,2.100000,0.054859
49.585663,171.528564,6606.339355,52.788406,1.471429,0.266220
49.587990,138.857147,2663.604004,25.216667,2.142857,0.002327
49.794968,165.714279,3580.944580,29.166664,2.285714,0.206978
49.826870,170.585709,5738.576172,44.016418,2.414286,0.031902
49.966160,166.928574,5706.083496,44.291962,2.071429,0.139290
50.115730,168.671432,6671.295410,53.300720,2.328571,0.149570
50.203976,174.828568,6552.886719,52.724274,2.171429,0.088245
